input,output
 When crossing the road you must always pay attention to what's around you . , Sorry . How far is the museum ? 
 Sorry . How far is the museum ? , I am not sure . We will ask for directions in the coffee shop . 
 I am not sure . We will ask for directions in the coffee shop . , Here we are . You find us a table and I'll get the drinks . 
How about going to the cinema tonight ? , That's great . What's on tonight ? 
 That's great . What's on tonight ? ," I am not sure about the name of the film , but I know it's a romantic one . "
" I am not sure about the name of the film , but I know it's a romantic one . ", Romantic ? I am afraid I like thrillers better . 
 Romantic ? I am afraid I like thrillers better . , Don't you think it's too bloody ? 
 Don't you think it's too bloody ? ," On the contrary , very exciting . "
I feel so uncomfortable . , Are you sick ? 
 Are you sick ? , No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . 
 No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . , He ’ ll finish writing in a minute . 
I have made up my mind . I am getting a tattoo . , Really ? Are you sure ? 
 Really ? Are you sure ? , Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . 
 Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . ," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
" Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! ", Really ? 
 Really ? , Of course ! They use this machine with a needle that pokes your skin and inserts the ink . 
 Of course ! They use this machine with a needle that pokes your skin and inserts the ink . ," Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . "
" Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . "," I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . "
" I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . ", Maybe I should just get a tongue piercing ! 
"Excuse me , what's the screen near your steering wheel for ? ", It's a portable TV . It's a popular thing now . 
 It's a portable TV . It's a popular thing now . ," Oh , that's new to me . So what's on everyday ? "
" Oh , that's new to me . So what's on everyday ? "," News about current affairs , documentaries , music , movies , noncommercial ads and so on . "
" News about current affairs , documentaries , music , movies , noncommercial ads and so on . ", Is there anything interesting ? 
 Is there anything interesting ? ," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
" Yes , there are something good and informative . I think that many people underestimate the value of TV in education . ", I agree . Are there any commercials on the TV ? 
 I agree . Are there any commercials on the TV ? , Of course . Because the TV stations need to make money from commercials between the programs . 
 Of course . Because the TV stations need to make money from commercials between the programs . , That makes a lot of sense . Does the TV work well ? 
 That makes a lot of sense . Does the TV work well ? , Not always . It depends on the transmission of the satellite signals . 
 Not always . It depends on the transmission of the satellite signals . , I got it . Do you pay for the programs ? 
 I got it . Do you pay for the programs ? ," Yes , 50 Yuan per month . "
"Oh , no ! ", How dreadful ! 
 How dreadful ! , Look at the view from the window . 
 Look at the view from the window . ," Oh , dear . That ’ s terrible . Not at all what I expected . "
" Oh , dear . That ’ s terrible . Not at all what I expected . "," It ’ s awful , isn ’ t it ? "
" It ’ s awful , isn ’ t it ? ", I can ’ t bear to look at it . I ’ m rather disappointed . 
 I can ’ t bear to look at it . I ’ m rather disappointed . , It can ’ t be helped . 
"What do you do in your free time , Nancy ? "," Well , I like playing the violin . "
" Well , I like playing the violin . ", Really ? How long have you been playing the violin ? 
 Really ? How long have you been playing the violin ? , About ten years so far . I started learning when I was in middle school . 
 About ten years so far . I started learning when I was in middle school . , That's really interesting . 
 That's really interesting . , Sure . So what about you ? Do you have any hobbies ? 
 Sure . So what about you ? Do you have any hobbies ? ," Well , I like collecting matchbox ! I'm not sure if that counts , though . "
" Well , I like collecting matchbox ! I'm not sure if that counts , though . ", Of course it does . Everybody has his own hobby . 
How can I tell her about this ? ," Don't worry , you'll find a way . "
" Don't worry , you'll find a way . ", There is no need to be so frustrated . 
 There is no need to be so frustrated . , How can you live without job in the future ? 
 How can you live without job in the future ? ," Don't worry , you'll find a way . "
